Date,Open,High,Low,Close,Adj Close,Volume,year,month,Close_FD,High_FD,Low_FD,Open_FD,ADX_FD,SMA_FD,macd,macdsignal,macdhist,upperband,middleband,lowerband,RSI_FD,ret1,std5,std10,std20,std40,future_return
29/08/2016,26.65500069,26.86000061,26.57250023,26.70499992,25.12516212,99881200,2016,Aug,0.40711427,0.413926174,0.41512391,0.410398506,8.927671382,0.414660687,-0.001048718,0.000937753,-0.001986471,0.41492154,0.407463076,0.400004611,47.65782138,0.008420346,0.014830683,0.013746973,0.022846852,0.03751356,-0.014235328
30/08/2016,26.45000076,26.625,26.375,26.5,24.93228722,99455600,2016,Aug,0.401318865,0.408539538,0.408929346,0.407788152,9.233789678,0.414537816,-0.001709203,0.000408362,-0.002117565,0.408938179,0.404809262,0.400680345,44.96420902,-0.014235328,0.011657111,0.01310687,0.018016305,0.037212314,0.015868663
31/08/2016,26.41500092,26.64249992,26.40999985,26.52499962,24.95580864,118649600,2016,Aug,0.407687259,0.415417887,0.41546037,0.412417763,8.938253976,0.413840358,-0.001699178,-1.31E-05,-0.001686032,0.409893834,0.405175607,0.40045738,48.41452713,0.015868663,0.011767232,0.014433734,0.0152412,0.037074963,0.016689067
01/09/2016,26.53499985,26.70000076,26.40500069,26.68250084,25.10399246,106806000,2016,Sep,0.414491179,0.418778312,0.41581035,0.419354712,8.39094708,0.413563019,-0.001129198,-0.000236356,-0.000892842,0.415790749,0.406865285,0.39793982,51.88514694,0.016689067,0.013679148,0.015523526,0.015763193,0.037155748,0.015442488
02/09/2016,26.92499924,27,26.70499992,26.93250084,25.33920097,107210000,2016,Sep,0.420891954,0.42939691,0.427758642,0.432271963,8.496794988,0.41314515,-0.00015916,-0.000220917,6.18E-05,0.423788227,0.410300705,0.396813184,54.95544137,0.015442488,0.013099979,0.016111402,0.015337338,0.037192855,-0.014542677
06/09/2016,26.97500038,27.07500076,26.87750053,26.92499924,25.33214378,107521600,2016,Sep,0.414771058,0.425721866,0.427882448,0.425471302,8.595082332,0.412568644,0.000114378,-0.000153858,0.000268236,0.425263279,0.411832063,0.398400847,51.56670823,-0.014542677,0.016651165,0.014998528,0.015589225,0.037259551,0.012318103
07/09/2016,26.95750046,27.19000053,26.76749992,27.09000015,25.48738289,169457200,2016,Sep,0.41988025,0.427167145,0.418843501,0.422159628,8.045250119,0.412424888,0.000734955,2.39E-05,0.000711051,0.424960833,0.41554434,0.406127847,54.11039118,0.012318103,0.013350591,0.014390357,0.015778873,0.037299563,-0.073185582
08/09/2016,26.8125,26.81749916,26.30999947,26.37999916,24.81938362,212008000,2016,Sep,0.38915107,0.409985131,0.402798868,0.416216729,8.65180653,0.41135431,-0.001238543,-0.000228585,-0.001009958,0.435109246,0.411837102,0.388564958,40.37561603,-0.073185582,0.038281008,0.027175549,0.021929007,0.038947559,-0.020675194
09/09/2016,26.15999985,26.43000031,25.78249931,25.78249931,24.25723076,186228000,2016,Sep,0.381105296,0.402769938,0.392721812,0.394394562,9.790013181,0.409779347,-0.003412445,-0.000865357,-0.002547088,0.438524184,0.405159926,0.371795667,37.67886867,-0.020675194,0.035653311,0.02762131,0.022220697,0.038031742,0.101041564
12/09/2016,25.66250038,26.43000031,25.63249969,26.36000061,24.80056953,181171200,2016,Sep,0.419612772,0.412618635,0.400925912,0.39028469,10.02681662,0.40999775,-0.002004935,-0.001093273,-0.000911662,0.437798198,0.404904089,0.372009981,53.63898209,0.101041564,0.063936107,0.04368618,0.032287014,0.04108363,0.033435484
13/09/2016,26.87750053,27.19750023,26.80999947,26.98749924,25.39094543,248704800,2016,Sep,0.433642728,0.443335385,0.452526614,0.451012335,10.28413411,0.410404255,0.000239862,-0.000826646,0.001066508,0.448776825,0.408678423,0.368580022,57.87215346,0.033435484,0.064618589,0.044628024,0.032680014,0.041291946,0.045798015
14/09/2016,27.18250084,28.25749969,27.14999962,27.94249916,26.2894516,443554800,2016,Sep,0.453502704,0.465362565,0.440435751,0.438154229,11.475387,0.412231807,0.003580145,5.47E-05,0.003525432,0.469569276,0.415402914,0.361236551,63.0195973,0.045798015,0.066548656,0.045452048,0.033698789,0.041741572,0.021357809
15/09/2016,28.46500015,28.93250084,28.37249947,28.89249992,27.18324852,359934400,2016,Sep,0.463188528,0.463175706,0.472797957,0.473796982,12.58155039,0.414674475,0.006929034,0.001429577,0.005499457,0.48793728,0.430210405,0.37248353,65.24969321,0.021357809,0.044043362,0.045520696,0.033789696,0.041820467,-0.067018996
16/09/2016,28.78000069,29.03249931,28.51000023,28.72999954,27.03036308,319547600,2016,Sep,0.432146098,0.446751155,0.448113178,0.454484386,12.09332892,0.415616975,0.006997525,0.002543166,0.004454359,0.471875108,0.440418566,0.408962023,54.00838376,-0.067018996,0.06072131,0.052139227,0.037529138,0.043192616,-0.034564086
19/09/2016,28.79750061,29.04500008,28.3125,28.39500046,26.71518135,188092000,2016,Sep,0.417209363,0.439554095,0.431498804,0.441698484,11.6350779,0.41565407,0.005779908,0.003190515,0.002589393,0.472697901,0.439937884,0.407177867,49.58201817,-0.034564086,0.048367269,0.053450301,0.038423974,0.043524925,0.010180223
20/09/2016,28.26250076,28.53000069,28.12750053,28.39249992,26.71282578,138057200,2016,Sep,0.421456647,0.41806171,0.425155681,0.41793853,11.49609398,0.416368557,0.005098881,0.003572188,0.001526693,0.47343116,0.437500668,0.401570175,50.81639239,0.010180223,0.045348344,0.053253935,0.038080681,0.043359735,-0.001806557
21/09/2016,28.46249962,28.49749947,28.11000061,28.38750076,26.70812225,144012800,2016,Sep,0.420695262,0.425415219,0.426794665,0.433473492,10.9720023,0.416673924,0.004446469,0.003747044,0.000699425,0.464701185,0.430939179,0.397177174,50.57733877,-0.001806557,0.036113529,0.053162698,0.037905865,0.043365493,0.020114253
22/09/2016,28.58749962,28.73500061,28.5,28.65500069,26.95979881,124296000,2016,Sep,0.429157233,0.4348555,0.440222631,0.433829421,10.3760469,0.417839009,0.004559677,0.003909571,0.000650106,0.435317564,0.42413292,0.412948277,53.2117288,0.020114253,0.035808955,0.046359322,0.037738941,0.032846975,-0.053909178
23/09/2016,28.60499954,28.69750023,27.88750076,28.17749977,26.51054764,209924800,2016,Sep,0.406021719,0.428429479,0.409429564,0.430347573,10.81261534,0.417837955,0.002750842,0.003677825,-0.000926983,0.43397266,0.418908045,0.403843429,45.99332675,-0.053909178,0.031195797,0.049919832,0.039865333,0.033024647,0.024746782
26/09/2016,27.90999985,28.34749985,27.88750076,28.21999931,26.55053329,119477600,2016,Sep,0.41606945,0.415842703,0.420444779,0.40418242,11.21800033,0.418455685,0.002103844,0.003363029,-0.001259185,0.433874548,0.418680062,0.403485576,49.21542697,0.024746782,0.031741123,0.038568232,0.040185771,0.032763539,0.005713332
27/09/2016,28.25,28.29500008,28.08499908,28.27249908,26.59992409,98429600,2016,Sep,0.418446593,0.421194761,0.429106495,0.430292268,11.29331912,0.419022301,0.001762591,0.003042941,-0.001280351,0.433021237,0.418078051,0.403134865,49.97582932,0.005713332,0.031439645,0.036842302,0.040168534,0.032345295,0.017018298
28/09/2016,28.42250061,28.65999985,28.35750008,28.48749924,26.80220795,118564400,2016,Sep,0.425567841,0.436675661,0.435445831,0.431916368,10.5508235,0.42023475,0.002043217,0.002842996,-0.000799779,0.435142869,0.419052567,0.402962265,52.28092645,0.017018298,0.032434561,0.033592949,0.040105901,0.030749945,-0.047071993
29/09/2016,28.29000092,28.45000076,27.95000076,28.04500008,26.38588524,143548000,2016,Sep,0.405535515,0.422640816,0.414913301,0.423512749,10.7561807,0.420127163,0.000641777,0.002402752,-0.001760976,0.429628723,0.414328224,0.399027725,45.87676807,-0.047071993,0.037027459,0.034402264,0.041544499,0.030905845,0.040156014
30/09/2016,28.11499977,28.34250069,27.95000076,28.26250076,26.59051895,145516400,2016,Sep,0.421820205,0.42233618,0.422385339,0.419544391,10.94686953,0.420493614,0.000835532,0.002089308,-0.001253777,0.431048007,0.417487921,0.403927835,51.11873212,0.040156014,0.033293707,0.032210385,0.042347811,0.031560355,-0.01852669
03/10/2016,28.17749977,28.26250076,28.06999969,28.12999916,26.46585655,86807200,2016,Oct,0.414005273,0.422214793,0.427820916,0.425723188,11.12393772,0.42014928,0.000354399,0.001742326,-0.001387928,0.430905762,0.417075085,0.403244408,48.68199278,-0.01852669,0.033512352,0.030772862,0.042449868,0.031507171,0.01648268
